angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.23,"[328, 9, 94, 123]",0.0,0.11,0.02,0.48,0.16,0.01
0.22,"[328, 9, 94, 123]",0.0,0.11,0.02,0.47,0.18,0.01
0.24,"[328, 8, 94, 125]",0.0,0.09,0.02,0.43,0.22,0.0
0.23,"[328, 8, 94, 125]",0.0,0.09,0.02,0.44,0.22,0.0
0.22,"[328, 8, 94, 125]",0.0,0.09,0.02,0.46,0.21,0.0
0.27,"[327, 9, 95, 124]",0.0,0.1,0.02,0.45,0.16,0.01
0.29,"[327, 9, 95, 124]",0.0,0.11,0.02,0.42,0.15,0.01
0.27,"[327, 9, 95, 124]",0.0,0.1,0.02,0.46,0.15,0.01
0.26,"[327, 8, 95, 126]",0.0,0.08,0.02,0.41,0.22,0.0
0.26,"[327, 8, 95, 126]",0.0,0.08,0.01,0.41,0.23,0.0
0.36,"[327, 9, 95, 125]",0.0,0.06,0.02,0.34,0.21,0.0
0.22,"[327, 8, 95, 125]",0.0,0.09,0.01,0.47,0.2,0.0
0.26,"[327, 8, 95, 126]",0.0,0.09,0.02,0.37,0.27,0.0
0.35,"[327, 9, 95, 125]",0.0,0.07,0.01,0.31,0.25,0.0
0.29,"[326, 9, 95, 125]",0.0,0.06,0.02,0.37,0.25,0.0
0.24,"[327, 9, 94, 124]",0.0,0.12,0.01,0.41,0.22,0.01
0.21,"[327, 9, 95, 124]",0.0,0.09,0.01,0.45,0.23,0.0
0.22,"[326, 9, 96, 124]",0.0,0.1,0.01,0.47,0.19,0.01
0.3,"[327, 10, 95, 124]",0.0,0.06,0.02,0.37,0.25,0.01
0.28,"[327, 10, 95, 124]",0.0,0.06,0.02,0.36,0.27,0.01
0.28,"[327, 10, 95, 124]",0.0,0.06,0.02,0.37,0.27,0.01
0.21,"[327, 10, 95, 123]",0.0,0.08,0.02,0.53,0.15,0.01
0.22,"[327, 10, 95, 123]",0.0,0.08,0.02,0.54,0.14,0.01
0.16,"[328, 10, 94, 123]",0.0,0.06,0.01,0.61,0.16,0.01
0.17,"[328, 10, 94, 123]",0.0,0.08,0.01,0.58,0.15,0.01
0.15,"[328, 10, 94, 123]",0.0,0.07,0.02,0.62,0.14,0.01
0.21,"[328, 12, 94, 121]",0.0,0.06,0.02,0.56,0.15,0.01
0.24,"[328, 11, 94, 122]",0.0,0.08,0.01,0.51,0.15,0.01
0.22,"[328, 12, 94, 121]",0.0,0.06,0.01,0.56,0.14,0.01
0.22,"[328, 11, 94, 122]",0.0,0.08,0.01,0.54,0.14,0.01
0.21,"[328, 11, 94, 122]",0.0,0.08,0.01,0.55,0.14,0.01
0.19,"[328, 11, 94, 122]",0.0,0.08,0.01,0.57,0.14,0.01
0.23,"[329, 11, 94, 122]",0.0,0.07,0.01,0.54,0.15,0.01
0.21,"[328, 11, 94, 123]",0.0,0.07,0.01,0.51,0.19,0.01
0.23,"[328, 11, 95, 123]",0.0,0.07,0.01,0.49,0.2,0.01
0.18,"[328, 12, 94, 121]",0.0,0.07,0.01,0.58,0.15,0.0
0.23,"[329, 11, 94, 122]",0.0,0.08,0.01,0.52,0.16,0.01
0.25,"[329, 11, 94, 123]",0.0,0.06,0.01,0.45,0.23,0.0
0.17,"[328, 11, 94, 122]",0.0,0.07,0.01,0.61,0.14,0.0
0.25,"[329, 11, 94, 123]",0.0,0.06,0.01,0.44,0.23,0.0
0.17,"[329, 13, 94, 120]",0.0,0.07,0.02,0.57,0.17,0.0
0.08,"[329, 12, 93, 121]",0.0,0.13,0.0,0.28,0.51,0.0
0.01,"[323, 4, 98, 131]",0.0,0.03,0.02,0.59,0.35,0.0
0.02,"[323, 4, 98, 131]",0.0,0.03,0.01,0.57,0.36,0.0
0.09,"[329, 13, 93, 120]",0.0,0.12,0.0,0.3,0.48,0.0
0.14,"[329, 13, 93, 119]",0.0,0.16,0.0,0.32,0.37,0.0
0.19,"[330, 11, 93, 122]",0.0,0.11,0.01,0.4,0.29,0.0
0.17,"[329, 10, 93, 122]",0.0,0.12,0.0,0.42,0.29,0.0
0.17,"[329, 11, 93, 121]",0.0,0.12,0.01,0.49,0.21,0.0
0.19,"[329, 12, 93, 120]",0.0,0.14,0.01,0.4,0.26,0.0
0.19,"[329, 11, 93, 121]",0.0,0.13,0.01,0.44,0.22,0.01
0.2,"[329, 12, 93, 120]",0.0,0.13,0.0,0.39,0.27,0.0
0.21,"[329, 12, 93, 120]",0.0,0.13,0.0,0.36,0.29,0.0
0.19,"[329, 12, 93, 121]",0.0,0.09,0.01,0.48,0.23,0.01
0.17,"[330, 11, 92, 122]",0.0,0.11,0.01,0.51,0.19,0.01
0.25,"[329, 12, 94, 120]",0.0,0.14,0.01,0.37,0.24,0.0
0.24,"[329, 12, 93, 120]",0.0,0.14,0.01,0.38,0.23,0.0
0.23,"[329, 12, 93, 120]",0.0,0.13,0.01,0.39,0.24,0.0
0.24,"[329, 12, 93, 120]",0.0,0.14,0.01,0.37,0.24,0.0
0.24,"[329, 12, 93, 120]",0.0,0.13,0.01,0.4,0.23,0.0
0.23,"[329, 12, 93, 120]",0.0,0.12,0.01,0.4,0.23,0.0
0.24,"[329, 12, 93, 120]",0.0,0.12,0.01,0.41,0.22,0.0
0.23,"[329, 12, 93, 121]",0.0,0.09,0.01,0.48,0.19,0.01
0.23,"[329, 12, 93, 121]",0.0,0.1,0.01,0.45,0.21,0.01
0.22,"[329, 12, 93, 121]",0.0,0.09,0.01,0.49,0.18,0.01
0.21,"[329, 12, 93, 121]",0.0,0.09,0.01,0.52,0.17,0.01
0.22,"[328, 12, 94, 121]",0.0,0.1,0.01,0.49,0.17,0.01
0.2,"[328, 13, 94, 120]",0.0,0.09,0.01,0.5,0.19,0.01
0.23,"[328, 13, 94, 120]",0.0,0.11,0.01,0.47,0.18,0.01
0.19,"[328, 11, 93, 121]",0.0,0.11,0.01,0.48,0.21,0.01
0.21,"[328, 13, 94, 120]",0.0,0.13,0.01,0.44,0.22,0.01
0.25,"[328, 13, 94, 121]",0.0,0.08,0.01,0.44,0.22,0.0
0.23,"[327, 11, 95, 122]",0.0,0.1,0.01,0.48,0.18,0.0
0.23,"[327, 11, 95, 122]",0.0,0.1,0.01,0.48,0.18,0.0
0.24,"[328, 12, 94, 121]",0.0,0.13,0.01,0.42,0.19,0.01
0.23,"[327, 12, 95, 121]",0.0,0.12,0.01,0.4,0.24,0.0
0.21,"[328, 13, 94, 120]",0.0,0.14,0.01,0.41,0.23,0.01
0.2,"[328, 14, 94, 119]",0.0,0.12,0.01,0.43,0.23,0.01
0.22,"[327, 14, 95, 120]",0.0,0.07,0.01,0.45,0.25,0.0
0.27,"[327, 14, 94, 121]",0.0,0.07,0.01,0.39,0.26,0.0
0.23,"[326, 12, 95, 123]",0.0,0.09,0.01,0.45,0.22,0.01
0.23,"[327, 14, 94, 120]",0.0,0.07,0.01,0.47,0.22,0.01
0.3,"[325, 13, 96, 122]",0.0,0.09,0.01,0.36,0.24,0.0
0.23,"[325, 14, 96, 119]",0.0,0.13,0.01,0.38,0.24,0.01
0.25,"[324, 13, 97, 121]",0.0,0.09,0.01,0.41,0.23,0.01
