,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
156,"[402, 213, 219, 313]",0.0,0.0,0.01,0.9,0.04,0.01,0.03,5.200170268500328
157,"[410, 218, 217, 307]",0.01,0.0,0.02,0.67,0.24,0.01,0.06,5.233504693298406
158,"[427, 234, 205, 268]",0.01,0.01,0.01,0.74,0.15,0.01,0.07,5.2668391180964855
159,"[418, 231, 208, 288]",0.04,0.01,0.04,0.57,0.26,0.01,0.08,5.300173542894564
160,"[426, 232, 202, 276]",0.01,0.0,0.01,0.89,0.04,0.01,0.04,5.333507967692643
161,"[422, 231, 214, 302]",0.01,0.0,0.02,0.37,0.48,0.01,0.11,5.366842392490723
162,"[423, 232, 214, 302]",0.02,0.0,0.05,0.26,0.53,0.01,0.12,5.400176817288801
163,"[429, 233, 210, 298]",0.03,0.0,0.04,0.33,0.44,0.02,0.14,5.4335112420868805
164,"[429, 236, 212, 297]",0.03,0.0,0.06,0.45,0.34,0.02,0.1,5.466845666884959
165,"[427, 238, 211, 295]",0.04,0.0,0.08,0.51,0.21,0.02,0.13,5.500180091683038
166,"[435, 238, 201, 278]",0.03,0.0,0.04,0.67,0.16,0.02,0.08,5.533514516481118
167,"[435, 243, 201, 274]",0.02,0.0,0.04,0.74,0.1,0.02,0.09,5.566848941279196
168,"[437, 248, 198, 276]",0.02,0.0,0.03,0.76,0.08,0.02,0.1,5.6001833660772755
169,"[437, 249, 200, 278]",0.02,0.0,0.05,0.71,0.09,0.02,0.12,5.633517790875355
170,"[432, 289, 226, 321]",0.02,0.0,0.04,0.1,0.44,0.02,0.38,5.666852215673433
171,"[434, 258, 200, 280]",0.03,0.0,0.07,0.66,0.13,0.01,0.1,5.700186640471513
172,"[423, 253, 208, 288]",0.01,0.0,0.07,0.35,0.39,0.0,0.16,5.733521065269592
173,"[432, 249, 197, 265]",0.02,0.0,0.12,0.49,0.21,0.01,0.17,5.7668554900676705
174,"[425, 245, 199, 262]",0.02,0.0,0.06,0.53,0.24,0.01,0.14,5.80018991486575
175,"[424, 243, 198, 259]",0.03,0.0,0.08,0.32,0.46,0.0,0.11,5.833524339663828
176,"[407, 228, 215, 298]",0.03,0.0,0.1,0.07,0.67,0.0,0.13,5.866858764461908
177,"[403, 226, 214, 295]",0.03,0.0,0.04,0.17,0.56,0.0,0.2,5.900193189259987
178,"[400, 224, 212, 292]",0.03,0.0,0.03,0.26,0.46,0.0,0.21,5.9335276140580655
179,"[399, 220, 213, 293]",0.04,0.0,0.03,0.21,0.46,0.0,0.26,5.966862038856145
180,"[397, 219, 215, 297]",0.04,0.0,0.03,0.11,0.6,0.0,0.22,6.000196463654223
181,"[395, 217, 218, 302]",0.03,0.0,0.03,0.14,0.56,0.0,0.23,6.033530888452303
